,venue_Neighborhood,venue_id,venue_name,venue_categories,venue_hasPerk,venue_lat,venue_lng,venue_distance,venue_postalCode,venue_city,venue_state,venue_formattedAddress,venue_neighborhood,venue_address,venue_crossStreet
21,malga,51c796cd498e0ac964e6628e,Cafeteria,Eastern European Restaurant,False,24.71049289618794,46.67439837012685,12506,+966,Riyadh,KSA,"['Kingdom Tower (Olaya Street)', 'Riyadh +966', 'المملكة العربية السعودية']",,Kingdom Tower,Olaya Street
22,malga,5079bcf6e4b0602b62ba45cc,Teatro تياترو,Italian Restaurant,False,24.687322895166382,46.68742362637365,15370,,,,['المملكة العربية السعودية'],,,
23,malga,575c8b98498e3d47d4bc73c5,Mayrig (مايريك),Mediterranean Restaurant,False,24.69418517486354,46.67904188786155,14262,12331,الرياض,منطقة الرياض‎,"['Tahliya St (at King Fahd Rd)', 'الرياض 12331', 'المملكة العربية السعودية']",,Tahliya St,at King Fahd Rd
25,malga,582de1771094cb749f6a192d,Cilicia (سيليسيا),Eastern European Restaurant,False,24.702755679593874,46.6771212296387,13365,,الرياض,منطقة الرياض‎,"['King Fahad Rd', 'الرياض', 'المملكة العربية السعودية']",,King Fahad Rd,
26,malga,55369f4f498e8d218f2b1a53,VIENNA GARDENs (مطعم حدائق فينا),Mediterranean Restaurant,False,24.743036641200955,46.650675484189904,8171,,الرياض,منطقة الرياض‎,"['Riyadh', 'الرياض', 'المملكة العربية السعودية']",,Riyadh,
27,malga,53637086498ebebcd5bbc044,Tuğra Restaurant (مطعم تورا العثماني),Turkish Restaurant,False,24.79240043331957,46.6323445212726,3329,,الرياض,منطقة الرياض‎,"['7647 King Fahd Rd', 'الرياض', 'المملكة العربية السعودية']",,7647 King Fahd Rd,
28,malga,52f9dbf8498ec1f2b0d17360,Tahil (تاهل),Middle Eastern Restaurant,False,24.706755142240375,46.67704015731114,12999,12214,الرياض,منطقة الرياض‎,"['خلف برج العنود وبنك الانماء (84)', 'الرياض 12214', 'المملكة العربية السعودية']",Al-Olaya St. Behind Kingdom Tower,خلف برج العنود وبنك الانماء,84
0,malga,5e536de1b03c400008e5ae84,Richoux Restaurant,English Restaurant,False,24.816879,46.665885,6827,13322,الرياض,منطقة الرياض‎,"['الرياض 13322', 'المملكة العربية السعودية']",,,
1,malga,533bb23a498e94f7b2c94f87,مطعم فندق كورال,English Restaurant,False,24.706791,46.687453,13648,,,,['المملكة العربية السعودية'],,,
2,malga,57ac4cef498ea2d3ce3f6fe3,مياه فوس,English Restaurant,False,24.70057135959323,46.64524962799673,12025,,الرياض,منطقة الرياض‎,"['طريق العروبة', 'الرياض', 'المملكة العربية السعودية']",,طريق العروبة,
0,malga,5d47c3812442890007d4d903,Flafel Pie (فطيرة الفلافل),Falafel Restaurant,False,24.848177,46.603752,5290,,الرياض,منطقة الرياض‎,"['حي العارض (qassim Road)', 'الرياض', 'المملكة العربية السعودية']",Al-Arid,حي العارض,qassim Road
1,malga,5c15ed50135b390039004dfa,فلافل ثمار,Falafel Restaurant,False,24.683488,46.790648,23218,14251,الرياض,منطقة الرياض‎,"['. (سعد بن عبدالرحمن)', 'الرياض 14251', 'المملكة العربية السعودية']",,.,سعد بن عبدالرحمن
2,malga,5745fcee498e2b7c87d71a5d,فطيرة الفلافل Falafel Pie | حي الحزم,Falafel Restaurant,False,24.545193,46.652774,28930,77779,الرياض,منطقة الرياض‎,"['حي الحزم (شارع المشتل)', 'الرياض 77779', 'المملكة العربية السعودية']",,حي الحزم,شارع المشتل
3,malga,5ac5a757ca18ea0e44897ef5,فلافل ثمار,Falafel Restaurant,False,24.754182,46.816788,22446,13221,الرياض,منطقة الرياض‎,"['الرياض 13221', 'المملكة العربية السعودية']",,,
4,malga,5dc8f398fe7b760008d70eca,فلافل شاكر,Falafel Restaurant,False,24.607355,46.639024,21872,12769,الرياض,منطقة الرياض‎,"['الرياض 12769', 'المملكة العربية السعودية']",,,
5,malga,598a903275cb8c6e81ff0131,فلافل ابو عدنان,Falafel Restaurant,False,24.681299178251727,46.81512704635442,25430,,الرياض,منطقة الرياض‎,"['الرياض', 'المملكة العربية السعودية']",,,
6,malga,52c27563498eaecbf0a23a58,فلافل ثمار,Falafel Restaurant,False,24.628875027706453,46.55979790123808,19573,,,,['المملكة العربية السعودية'],,,
8,malga,51b3f593498e028dc793d4a4,فلافل الحارة,Falafel Restaurant,False,24.5804094285637,46.78181281508839,30611,,,,['المملكة العربية السعودية'],,,
9,malga,4eddd12d02d5244e34759e30,فوال لواء الشمال,Falafel Restaurant,False,24.723946,46.805214,22370,,الرياض,منطقة الرياض‎,"['Riyadh', 'الرياض', 'المملكة العربية السعودية']",,Riyadh,
10,malga,5122f2e3e4b0255ef50ab9fa,فلافلfalafel,Falafel Restaurant,False,24.687194,46.848178,28030,,Riyadh,Ksa,"['Suly Exit16 In Front Of Gate2', 'Riyadh', 'المملكة العربية السعودية']",,Suly Exit16 In Front Of Gate2,
11,malga,54587906498e835007465de4,فلافل و حمص,Falafel Restaurant,False,24.754093826895016,46.57002373422748,6047,,,,['المملكة العربية السعودية'],,,
12,malga,53e77b19498e569365d6bd06,فلافل ابو عدنان,Falafel Restaurant,False,24.746998,46.837259,24646,,,,['المملكة العربية السعودية'],,,
13,malga,55f3c970498e38daf825e7f8,فلافل عرفة,Falafel Restaurant,False,24.609855672374117,46.751587326281296,26159,,,,['المملكة العربية السعودية'],,,
14,malga,56dbee31498e07b1250f1020,فلافل قرمشة,Falafel Restaurant,False,24.54025747442121,46.7250263770906,31605,,,,"['Al Itidal', 'المملكة العربية السعودية']",,Al Itidal,
15,malga,55696857498e26c0489724f2,بوفيه  للأكلات المصرية,Falafel Restaurant,False,24.765016501647228,46.78636812137594,19181,,,,['المملكة العربية السعودية'],,,
16,malga,55e35eb1498e7d11f352ee9d,الدمياطي,Falafel Restaurant,False,24.556460169258976,46.67573292204102,28231,,الرياض,حي الشفاء,"['شارع المعارض', 'الرياض', 'المملكة العربية السعودية']",,شارع المعارض,
17,malga,56744f41498e8b94bc54960e,فلافل الاجنحة الشامية,Falafel Restaurant,False,24.820057053415358,46.751462640894374,15384,,الرياض,منطقة الرياض‎,"['Qurtubah District', 'الرياض', 'المملكة العربية السعودية']",,Qurtubah District,
18,malga,5827ef1c165d973540008aeb,Falafel Themar (فلافل ثمار),Falafel Restaurant,False,24.799606016701535,46.69720203343228,9752,,,,"['طريق عثمان بن عفان', 'المملكة العربية السعودية']",,طريق عثمان بن عفان,
19,malga,4c6efe78b3ce224b3c7a6fc6,Abu Jbara (ابو جبارة),Falafel Restaurant,False,24.708493518346692,46.69852927579393,14255,,الرياض,منطقة الرياض‎,"['Al Sullaimaniya', 'الرياض', 'المملكة العربية السعودية']",,Al Sullaimaniya,
22,malga,4ec1e6ae9a52cce4f47b07f3,فلافل ركن عدنان,Falafel Restaurant,False,24.704623081643337,46.80706051108009,23444,,الرياض,منطقة الرياض‎,"['الرياض', 'المملكة العربية السعودية']",,,
23,malga,4e73ba948998f94a587055f9,فلافل أبو عدنان,Falafel Restaurant,False,24.688902,46.7648,20741,,الرياض,منطقة الرياض‎,"['Prince Miteb Bin Abdulaziz', 'الرياض', 'المملكة العربية السعودية']",,Prince Miteb Bin Abdulaziz,
24,malga,4e6442b81f6ef7d07b7fcb0a,Flafel Abu Adnan (فلافل ابو عدنان),Falafel Restaurant,False,24.764229375320543,46.681126077520915,9087,,الرياض,منطقة الرياض‎,"['المصيف', 'الرياض', 'المملكة العربية السعودية']",,المصيف,
25,malga,500705f2e4b0d9d6f907e628,Midan Alsham (مطاعم ميدان الشام),Middle Eastern Restaurant,False,24.787431998428964,46.68850828638094,8996,,الرياض,منطقة الرياض‎,"['حي الوادي', 'الرياض', 'المملكة العربية السعودية']",,حي الوادي,
26,malga,51169912e4b0ec510842cbdc,Moryan Falafel (فلافل موريان),Falafel Restaurant,False,24.70233831082388,46.803598439506146,23252,,الرياض,منطقة الرياض‎,"['Al Zubair Bin Al Awam St', 'الرياض', 'المملكة العربية السعودية']",,Al Zubair Bin Al Awam St,
27,malga,4ecb4d106c2502f6a60730de,فخر الشامية Fakher Al Shammiyah,Falafel Restaurant,False,24.579831634146107,46.658892530405936,25285,,الرياض,منطقة الرياض‎,"['Shubra (Aisha Bint Abi Baker Rd.)', 'الرياض', 'المملكة العربية السعودية']",,Shubra,Aisha Bint Abi Baker Rd.
28,malga,50cb551a498e9af652f80943,Themar (فلال ثمار),Falafel Restaurant,False,24.788698,46.767325,16891,,الرياض,منطقة الرياض‎,"['حي الحمراء (مقابل مسجد المحيسن)', 'الرياض', 'المملكة العربية السعودية']",,حي الحمراء,مقابل مسجد المحيسن
29,malga,5c12af0946e1b6002c9c21e6,Abu Jbara,Falafel Restaurant,False,24.76039785609698,46.59969682028031,4491,13513,الرياض,منطقة الرياض‎,"['Hitten Square (Prince Saud Bin Mohammed Bin Muqrin Rd)', 'الرياض 13513', 'المملكة العربية السعودية']",,Hitten Square,Prince Saud Bin Mohammed Bin Muqrin Rd
30,malga,50a46a83e4b0a46f90fc1e98,Falafel Themar (فلافل ثمار),Falafel Restaurant,False,24.75636497366299,46.65758495003155,7579,,الرياض,منطقة الرياض‎,"['Prince Turki Ibn Abdulaziz Ath Thani St (Olaya St - شارع العليا)', 'الرياض', 'المملكة العربية السعودية']",,Prince Turki Ibn Abdulaziz Ath Thani St,Olaya St - شارع العليا
31,malga,56e47ac7498ed140df015106,Falafel Pie (فطيرة الفلافل),Falafel Restaurant,False,24.840467711632815,46.748523197764555,15576,,,,"['طريق الثمامة', 'المملكة العربية السعودية']",,طريق الثمامة,
32,malga,4e9fd83582310652a7fb4181,HASHEM (هاشم),Falafel Restaurant,False,24.766164010247618,46.76023951675302,16576,,الرياض,منطقة الرياض‎,"['Khalid Bin Al Waleed Rd (at King Abdullah Rd)', 'الرياض', 'المملكة العربية السعودية']",,Khalid Bin Al Waleed Rd,at King Abdullah Rd
33,malga,539bfc80498e4bc6856ba08c,Abu Jbara (أبو جبارة),Falafel Restaurant,False,24.797723508800544,46.641451499067145,4131,,الرياض,منطقة الرياض‎,"['Saud bin Faisal St', 'الرياض', 'المملكة العربية السعودية']",As-Sahafa,Saud bin Faisal St,
34,malga,57f35e91498e9dabc0d700cf,Abu Jbara (أبو جبارة),Falafel Restaurant,False,24.80795227943983,46.7366967972421,13765,11413,الرياض,منطقة الرياض‎,"['Qurtuba, Saeed Bin Zaid st. (Altamimi)', 'الرياض 11413', 'المملكة العربية السعودية']",,"Qurtuba, Saeed Bin Zaid st.",Altamimi
